Max, 2023/04/09  3:10:56 PM, 16,5,13,35,33,34,10,27, Bonus: 32
Max, 2023/04/09  3:11:00 PM, 39,29,16,28,16,47,30,30, Bonus: 16
Max, 2023/04/09  3:11:03 PM, 25,9,40,37,46,44,12,8, Bonus: 21
647, 2023/04/09  3:11:08 PM, 30,23,36,48,6,23,26,48, Bonus: 34
647, 2023/04/09  3:11:11 PM, 33,48,33,35,11,2,10,6, Bonus: 31
Max, 2023/04/09  3:39:15 PM, 49,25,47,42,45,23,5,9, Bonus: 19
Max, 2023/04/12  10:46:31 AM, 15,22,25,48,35,8,33,22, Bonus: 42
Max, 2023/04/12  10:46:32 AM, 43,42,34,24,49,42,43,22, Bonus: 28
Max, 2023/04/12  10:46:32 AM, 15,28,37,3,30,49,33,31, Bonus: 1
Max, 2023/04/12  10:46:33 AM, 49,9,10,30,8,31,4,8, Bonus: 16
Max, 2023/04/12  10:46:33 AM, 12,16,19,47,4,28,14,19, Bonus: 9
Max, 2023/09/17  7:34:31 PM, 39,36,41,27,13,12,3,3, Bonus: 10
647, 2023/09/17  7:34:39 PM, 11,29,44,46,36,16,5,43, Bonus: 13
